strain,tsne_x,tsne_y
2bb385e5,-28.169936644691145,38.8171825190867
19d1c13a,-27.7920815990539,40.3025007462413
32938fac,-27.837092787706354,39.65289556823864
43aa2c47,-28.385041385426753,39.506302115400615
1faaff03,-28.826147673909286,38.768511786389254
465768b3,-28.131792708711824,39.57200450687749
24c250de,-28.131792688473734,39.57200556918389
5c16f66a,-28.131792727997116,39.57200592797955
66eecdca,-29.16409481945981,39.35068395089802
6a4a010e,-28.131387727985334,39.57190421337335
2a04545,-28.131387957116857,39.57190652370882
3f10d1cd,-28.091625802392965,39.90524009976065
67294aa2,-28.131963921477848,39.57189940469021
363f5eaa,-28.11758738438458,39.59379412082831
326fff7f,-28.01952454551188,39.528700047858514
22fab8fa,-28.035738234703256,39.13472947301286
32940a33,-28.40280766298756,39.36086663204004
4dcf9b02,-28.351025586788626,39.418445828912525
66bb14a2,-28.336104755063367,39.4496696703126
23d80170,-27.472693164172618,39.1398683017053
1ec5b104,-27.4762382059496,39.17185344924954
3e71dab8,-28.049049136645724,39.41212489180872
1d2325ce,-28.35154999249214,39.370420791977836
26e148a5,-28.064335345664905,39.425821598014544
3334fe13,-28.35370663136774,39.36723161563036
7821916c,-28.356508376785644,39.320399932368176
363d3f01,-27.947352261558244,39.33915217568907
27472f3b,-27.99808384447743,39.18502799124777
b7ac336,-28.35290242374793,39.3654011100438
185cff59,-28.35226341358771,39.366368950888734
592d5d4e,-28.352903066060257,39.36540087691507
e06609a,-28.351753019608015,39.367055889019845
69d4a62d,-28.346904406965564,39.35613353666665
3c415803,-28.35175329692438,39.36705625607071
4b2c10c7,-28.354226509747825,39.33365997039329
638ae2ec,-27.79470172108599,38.9493754640571
7b19377a,-28.34679648934825,39.35962466410329
3b6bf77,-28.79719721775319,38.5357680721497
330d427c,-29.085638220447475,38.33024492971799
63a1bd6e,-28.9655788371537,38.55521105581271
317e0d11,-28.60387583679977,40.17510044899166
3865c964,-28.75559511127243,40.463470583809375
6297a1c1,-28.04945830795217,40.32709302174312
736f305c,-28.01363917672907,40.62061520294816
62d84642,-29.442092917591918,39.081492019746776
2e1cba20,-29.707114469388905,39.046971897121864
3805ec2d,-26.755996974682546,39.42627240442435
1cbdcb3,-26.543883836129634,39.444934142086545
7f0d0534,-29.667430515891873,39.47890763168204
387795c4,-29.29486468336685,39.47773699463388
52ebc515,-29.52028750225222,39.518264030730144
6a343d6a,-28.63741034586887,37.69461810146694
7d4d5ecb,-28.68724976189903,37.522310213021726
449109e1,-28.687246583710007,37.522316364727544
7e40cb0c,-28.686364697432097,37.520867886075465
52064ba2,-28.53634186248944,40.04647705769009
6c6b8aee,-26.543882822706838,39.44494006991824
6edadc0b,-28.629844433508655,39.96627250465057
31146dd,-31.168616656716825,44.12927067408169
2e5a5bdc,-31.221960552863905,44.21362565650462
2d64e31,-31.22201449406508,44.21381702518165
1602abaf,-31.221984911444903,44.21362118465308
7d5929d9,-31.221869173380345,44.2137650268874
7222641a,-31.221976454751562,44.213739695022745
51608422,-31.22197402119909,44.21331036603193
148fc1f8,-31.22201646772901,44.2136519115899
26567159,-31.221961275343443,44.21332284078997
71fbf0ee,-31.222037251646224,44.21365041869023
fd1d698,-31.221970359427754,44.21362748990076
2fd625ad,-31.221966244086797,44.21363738138289
1df30fdb,-15.700071526579352,34.85519379098921
10116338,-31.22074621662353,44.21349557655637
143993b0,-28.089555161029676,39.89862836984309
2ef228b0,-28.037700953467244,39.13070389250414
7a3a4805,-27.90198414083802,39.18214989270725
47c44596,-27.90146035934115,39.464068104287804
32b54aa2,-28.745381021128935,39.466740850017786
746b8ad5,-28.038867086974406,39.12975817539282
7b03f159,-28.129614087472394,39.087731621658406
6ed627dd,-28.090579594705645,39.10111282238055
6462f2c7,-28.287251025239442,39.03561315936721
62391e17,-28.101910424330388,39.053442781002076
7caa51af,-28.313017867208362,39.03431151477697
446a922f,-28.265534696636294,39.00146268363345
82450af,-28.11771871478812,39.05947232314441
23911cf7,-28.222883315228515,38.81616277529071
7237f0a1,-27.417419336966802,39.831114492794995
179bd5b4,-28.278912724962456,38.84285810758437
620363c2,-27.314732317417707,38.52881117959994
11890eb5,-28.717729745268958,40.39686204603002
5482a2,-28.03367109855442,38.149944344315415
5f8269d4,-27.457537749332257,40.19706564232735
11647ce1,-27.152827147960338,39.8255348436886
