config,run,method,bg_bin,bg_bin_low,same_rate,null_rate,n_same,n_null
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_phylo,0,0,0.9753086419753086,0.9617137648131268,162,1097
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_phylo,1,1,0.6715686274509803,0.36998784933171325,204,1646
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_phylo,2-3,2,0.12023460410557185,0.13687996970844377,682,5282
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_phylo,4-7,4,0.01125703564727955,0.015740499173841203,1599,11499
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_phylo,8-15,8,0.00047664442326024784,0.0004815795810257645,2098,16612
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_phylo,16-31,16,0.0,0.0,174,1489
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_phylo,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_tsne,0,0,1.0,0.98359161349134,162,1097
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_tsne,1,1,0.3088235294117647,0.264277035236938,204,1646
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_tsne,2-3,2,0.01906158357771261,0.020068156001514577,682,5282
